Province/State,Country/Region,Lat,Long,Date,Value
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num
,Afghanistan,33,65,26/03/2020,2
,Afghanistan,33,65,25/03/2020,2
,Afghanistan,33,65,24/03/2020,1
,Afghanistan,33,65,23/03/2020,1
,Afghanistan,33,65,22/03/2020,1
,Afghanistan,33,65,21/03/2020,1
,Afghanistan,33,65,20/03/2020,1
,Afghanistan,33,65,19/03/2020,1
,Afghanistan,33,65,18/03/2020,1
,Afghanistan,33,65,17/03/2020,1
,Afghanistan,33,65,16/03/2020,1
,Afghanistan,33,65,15/03/2020,0
,Afghanistan,33,65,14/03/2020,0
,Afghanistan,33,65,13/03/2020,0
,Afghanistan,33,65,12/03/2020,0
,Afghanistan,33,65,11/03/2020,0
,Afghanistan,33,65,10/03/2020,0
,Afghanistan,33,65,09/03/2020,0
,Afghanistan,33,65,08/03/2020,0
,Afghanistan,33,65,07/03/2020,0
,Afghanistan,33,65,06/03/2020,0
,Afghanistan,33,65,05/03/2020,0
,Afghanistan,33,65,04/03/2020,0
,Afghanistan,33,65,03/03/2020,0
,Afghanistan,33,65,02/03/2020,0
,Afghanistan,33,65,01/03/2020,0
,Afghanistan,33,65,29/02/2020,0
,Afghanistan,33,65,28/02/2020,0
,Afghanistan,33,65,27/02/2020,0
,Afghanistan,33,65,26/02/2020,0
,Afghanistan,33,65,25/02/2020,0
,Afghanistan,33,65,24/02/2020,0
,Afghanistan,33,65,23/02/2020,0
,Afghanistan,33,65,22/02/2020,0
,Afghanistan,33,65,21/02/2020,0
,Afghanistan,33,65,20/02/2020,0
,Afghanistan,33,65,19/02/2020,0
,Afghanistan,33,65,18/02/2020,0
,Afghanistan,33,65,17/02/2020,0
,Afghanistan,33,65,16/02/2020,0
,Afghanistan,33,65,15/02/2020,0
,Afghanistan,33,65,14/02/2020,0
,Afghanistan,33,65,13/02/2020,0
,Afghanistan,33,65,12/02/2020,0
,Afghanistan,33,65,11/02/2020,0
,Afghanistan,33,65,10/02/2020,0
,Afghanistan,33,65,09/02/2020,0
,Afghanistan,33,65,08/02/2020,0
,Afghanistan,33,65,07/02/2020,0
,Afghanistan,33,65,06/02/2020,0
,Afghanistan,33,65,05/02/2020,0
,Afghanistan,33,65,04/02/2020,0
,Afghanistan,33,65,03/02/2020,0
,Afghanistan,33,65,02/02/2020,0
,Afghanistan,33,65,01/02/2020,0
,Afghanistan,33,65,31/01/2020,0
,Afghanistan,33,65,30/01/2020,0
,Afghanistan,33,65,29/01/2020,0
,Afghanistan,33,65,28/01/2020,0
,Afghanistan,33,65,27/01/2020,0
,Afghanistan,33,65,26/01/2020,0
,Afghanistan,33,65,25/01/2020,0
,Afghanistan,33,65,24/01/2020,0
,Afghanistan,33,65,23/01/2020,0
,Afghanistan,33,65,22/01/2020,0
,Albania,41.1533,20.1683,26/03/2020,17
,Albania,41.1533,20.1683,25/03/2020,17
,Albania,41.1533,20.1683,24/03/2020,10
,Albania,41.1533,20.1683,23/03/2020,2
,Albania,41.1533,20.1683,22/03/2020,2
,Albania,41.1533,20.1683,21/03/2020,2
,Albania,41.1533,20.1683,20/03/2020,0
,Albania,41.1533,20.1683,19/03/2020,0
,Albania,41.1533,20.1683,18/03/2020,0
,Albania,41.1533,20.1683,17/03/2020,0
,Albania,41.1533,20.1683,16/03/2020,0
,Albania,41.1533,20.1683,15/03/2020,0
,Albania,41.1533,20.1683,14/03/2020,0
,Albania,41.1533,20.1683,13/03/2020,0
,Albania,41.1533,20.1683,12/03/2020,0
,Albania,41.1533,20.1683,11/03/2020,0
,Albania,41.1533,20.1683,10/03/2020,0
,Albania,41.1533,20.1683,09/03/2020,0
,Albania,41.1533,20.1683,08/03/2020,0
,Albania,41.1533,20.1683,07/03/2020,0
,Albania,41.1533,20.1683,06/03/2020,0
,Albania,41.1533,20.1683,05/03/2020,0
,Albania,41.1533,20.1683,04/03/2020,0
,Albania,41.1533,20.1683,03/03/2020,0
,Albania,41.1533,20.1683,02/03/2020,0
,Albania,41.1533,20.1683,01/03/2020,0
,Albania,41.1533,20.1683,29/02/2020,0
,Albania,41.1533,20.1683,28/02/2020,0
,Albania,41.1533,20.1683,27/02/2020,0
,Albania,41.1533,20.1683,26/02/2020,0
,Albania,41.1533,20.1683,25/02/2020,0
,Albania,41.1533,20.1683,24/02/2020,0
,Albania,41.1533,20.1683,23/02/2020,0
,Albania,41.1533,20.1683,22/02/2020,0
,Albania,41.1533,20.1683,21/02/2020,0
,Albania,41.1533,20.1683,20/02/2020,0
,Albania,41.1533,20.1683,19/02/2020,0
,Albania,41.1533,20.1683,18/02/2020,0
,Albania,41.1533,20.1683,17/02/2020,0
,Albania,41.1533,20.1683,16/02/2020,0
,Albania,41.1533,20.1683,15/02/2020,0
,Albania,41.1533,20.1683,14/02/2020,0
,Albania,41.1533,20.1683,13/02/2020,0
,Albania,41.1533,20.1683,12/02/2020,0
,Albania,41.1533,20.1683,11/02/2020,0
,Albania,41.1533,20.1683,10/02/2020,0
,Albania,41.1533,20.1683,09/02/2020,0
,Albania,41.1533,20.1683,08/02/2020,0
,Albania,41.1533,20.1683,07/02/2020,0
,Albania,41.1533,20.1683,06/02/2020,0
,Albania,41.1533,20.1683,05/02/2020,0
,Albania,41.1533,20.1683,04/02/2020,0
,Albania,41.1533,20.1683,03/02/2020,0
,Albania,41.1533,20.1683,02/02/2020,0
,Albania,41.1533,20.1683,01/02/2020,0
,Albania,41.1533,20.1683,31/01/2020,0
,Albania,41.1533,20.1683,30/01/2020,0
,Albania,41.1533,20.1683,29/01/2020,0
,Albania,41.1533,20.1683,28/01/2020,0
,Albania,41.1533,20.1683,27/01/2020,0
,Albania,41.1533,20.1683,26/01/2020,0
,Albania,41.1533,20.1683,25/01/2020,0
,Albania,41.1533,20.1683,24/01/2020,0
,Albania,41.1533,20.1683,23/01/2020,0
,Albania,41.1533,20.1683,22/01/2020,0
,Algeria,28.0339,1.6596,26/03/2020,29
,Algeria,28.0339,1.6596,25/03/2020,65
,Algeria,28.0339,1.6596,24/03/2020,24
,Algeria,28.0339,1.6596,23/03/2020,65
,Algeria,28.0339,1.6596,22/03/2020,65
,Algeria,28.0339,1.6596,21/03/2020,32
,Algeria,28.0339,1.6596,20/03/2020,32
,Algeria,28.0339,1.6596,19/03/2020,32
,Algeria,28.0339,1.6596,18/03/2020,12
,Algeria,28.0339,1.6596,17/03/2020,12
,Algeria,28.0339,1.6596,16/03/2020,12
,Algeria,28.0339,1.6596,15/03/2020,12
,Algeria,28.0339,1.6596,14/03/2020,12
,Algeria,28.0339,1.6596,13/03/2020,8
,Algeria,28.0339,1.6596,12/03/2020,8
,Algeria,28.0339,1.6596,11/03/2020,0
,Algeria,28.0339,1.6596,10/03/2020,0
,Algeria,28.0339,1.6596,09/03/2020,0
,Algeria,28.0339,1.6596,08/03/2020,0
,Algeria,28.0339,1.6596,07/03/2020,0
,Algeria,28.0339,1.6596,06/03/2020,0
,Algeria,28.0339,1.6596,05/03/2020,0
,Algeria,28.0339,1.6596,04/03/2020,0
